,Y_hat,Y
0,85.67288,79.0
1,104.57179,100.0
2,90.1682,80.0
3,97.75046,93.0
4,121.140465,118.0
5,106.06523,101.0
6,89.69787,96.0
7,83.09101,76.0
8,100.52646,93.0
9,120.8477,120.0
10,72.58873,66.0
11,115.3253,110.0
12,111.59966,114.0
13,126.33072,127.0
14,99.61142,93.0
15,103.41357,101.0
16,91.342834,93.0
17,103.80146,103.0
18,119.74332,125.0
19,82.27977,74.0
20,113.86154,102.0
21,93.63192,89.0
22,106.344055,100.0
23,92.36754,79.0
24,86.63376,79.0
25,113.28587,105.0
26,101.24761,99.0
27,106.50541,102.0
28,94.24843,85.0
29,98.38805,102.0
30,107.18358,103.0
31,103.93898,104.0
32,104.307,104.0
33,83.09807,74.0
34,97.93236,82.0
35,107.397095,110.0
36,119.488434,114.0
37,107.71438,89.0
38,98.13377,93.0
39,111.72994,104.0
40,83.98417,80.0
41,91.239586,91.0
42,128.90993,128.0
43,103.25667,93.0
44,117.48946,110.0
45,130.64417,130.0
46,95.36948,90.0
47,79.33887,73.0
48,106.69969,97.0
49,80.09997,67.0
50,109.77757,101.0
51,110.388794,104.0
52,98.54342,89.0
53,82.540436,77.0
54,87.65711,79.0
55,106.02402,96.0
56,94.73259,87.0
57,120.37036,115.0
58,85.2579,81.0
59,103.05155,104.0
60,73.390076,69.0
61,87.63849,81.0
62,103.17532,99.0
63,106.61786,101.0
64,98.59705,86.0
65,94.40564,82.0
66,98.77829,86.0
67,108.79973,107.0
68,90.642395,85.0
69,88.40541,83.0
70,117.063835,115.0
71,86.79293,101.0
72,108.77159,79.0
73,77.883606,93.0
74,89.536766,91.0
75,112.057785,79.0
76,115.52671,90.0
77,84.16502,85.0
78,117.02701,124.0
