,val_loss,loss
0,5360.03564453125,9277.766133912852
1,1369.5972900390625,4697.30644118618
2,593.8963012695312,845.337577712368
3,926.9827880859375,1250.5350462147887
4,104.70365905761719,827.5372338093503
5,525.1199951171875,254.41293120048417
6,425.7860107421875,571.4893687073613
7,122.30736541748047,371.5477335755254
8,155.62802124023438,168.67599831164722
9,135.5478973388672,263.4122430505887
10,103.50033569335938,194.6043174636196
11,188.90597534179688,164.78463723625936
12,162.00405883789062,228.11885908959616
13,96.4213638305664,182.4308384640116
14,107.97796630859375,162.0385095300809
15,97.3495864868164,179.93894292267277
16,109.5557861328125,157.08836343254842
17,138.29904174804688,158.56470392791317
18,124.28223419189453,179.2907117386939
19,96.14985656738281,154.66512782137158
20,102.71582794189453,152.6538896157708
21,95.20618438720703,165.35660810873543
22,107.10855865478516,148.41719399035816
23,115.18804931640625,157.69672952571386
24,96.76336669921875,150.49050516477772
25,108.03694152832031,148.42281717649647
26,98.93928527832031,170.99850721762215
27,118.2536849975586,153.60997009277344
28,125.24771118164062,159.86096664213798
29,100.23245239257812,150.58791920836543
30,101.04739379882812,147.43429479464677
31,108.183837890625,144.11416174660266
32,102.21038818359375,141.67552485936125
33,106.7694091796875,141.1587236431283
34,102.3590087890625,158.0215810856349
35,112.92485046386719,143.12034435003577
36,101.71580505371094,142.4616933473399
37,99.15180206298828,135.76429619587643
38,98.81117248535156,140.54036615935848
39,111.97738647460938,134.37072281098702
40,105.55746459960938,147.4775059659716
41,117.40565490722656,134.1028691681338
42,109.80209350585938,162.55610603010152
43,111.81753540039062,141.21428368796765
44,116.28718566894531,145.63722830758968
45,103.68450927734375,137.9464606701488
46,103.46115112304688,138.98834142550615
47,107.15690612792969,133.8309058605785
48,116.98304748535156,132.69891583080022
49,115.79225158691406,137.27749107253385
50,107.64666748046875,134.7893940025652
51,107.11167907714844,131.0724689322458
52,107.42606353759766,131.11186691069267
53,105.99420166015625,135.09578629614603
54,109.90753936767578,128.70550118029956
55,111.10916137695312,134.71046974289584
56,111.39895629882812,129.44117715325154
57,107.20787811279297,127.76230997434804
58,111.00009155273438,144.98462085992517
59,124.7276840209961,135.9834319907175
60,110.71730041503906,143.92467359086157
61,126.51800537109375,129.8972384493116
62,108.95918273925781,147.0062153775927
63,112.91403198242188,124.52116021975665
64,110.84048461914062,125.03376318703235
65,110.06818389892578,123.37810290699274
66,110.54296875,125.15763747524208
67,115.47145080566406,121.77022928587148
68,114.28732299804688,131.9642989467567
69,121.52684020996094,121.14547288921517
70,118.41841125488281,130.1869461704308
71,115.31867980957031,124.03046943772007
72,112.81954956054688,135.84897334139112
73,120.21538543701172,122.71655789227553
